county_name,population,growth_rate,total_white,rate_white,poverty_white,poverty_rate_white,total_hispanic,rate_hispanic,poverty_hispanic,poverty_rate_hispanic,total_other,rate_other,poverty_other,poverty_rate_other,total_asian,rate_asian,poverty_asian,poverty_rate_asian,total_black,rate_black,poverty_black,poverty_rate_black,total_multiple,rate_multiple,poverty_multiple,poverty_rate_multiple,total_native,rate_native,poverty_native,poverty_rate_native,total_islander,rate_islander,poverty_islander,poverty_rate_islander
Beaver County,6421,-1.127,5562,0.866220215,366,0.0658,700,0.109017287,158,0.2257,159,0.024762498,28,0.1761,,,,,,,,,,,,,,,,,,,,
Box Elder County,54190,9.5276,45834,0.845801808,3877,0.0846,4826,0.089057022,777,0.161,1298,0.023952759,369,0.2843,420,0.007750507,25,0.0595,268,0.004945562,11,0.041,897,0.01655287,83,0.0925,647,0.011939472,115,0.1777,,,,
Cache County,124043,12.0667,99669,0.803503624,13517,0.1356,12767,0.102923986,2503,0.1961,4395,0.035431262,744,0.1693,2388,0.019251389,830,0.3476,946,0.007626388,397,0.4197,2900,0.02337899,618,0.2131,519,0.004184033,235,0.4528,459,0.00370033,45,0.098
Carbon County,20646,-5.2983,16631,0.805531338,2587,0.1556,2631,0.127433885,472,0.1794,468,0.022667829,39,0.0833,67,0.003245181,57,0.8507,,,,,681,0.032984598,39,0.0573,168,0.008137169,30,0.1786,,,,
Daggett County,489,-9.0065,489,1,23,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis County,350407,14.2274,285018,0.813391285,12230,0.0429,31776,0.09068312,4327,0.1362,8099,0.023113123,902,0.1114,6083,0.017359813,433,0.0712,4423,0.012622465,793,0.1793,11514,0.032858933,847,0.0736,1402,0.004001062,154,0.1098,2092,0.0059702,296,0.1415
Duchesne County,20495,7.0628,16878,0.823517931,1805,0.1069,1607,0.078409368,354,0.2203,678,0.033081239,168,0.2478,109,0.00531837,5,0.0459,87,0.004244938,27,0.3103,352,0.017174921,52,0.1477,784,0.038253232,425,0.5421,,,,
Emery County,10007,-9.005,9290,0.928350155,1045,0.1125,642,0.064155091,240,0.3738,,,,,,,,,,,,,,,,,75,0.007494754,13,0.1733,,,,
Garfield County,4727,-2.2513,4335,0.917072139,746,0.1721,231,0.048868204,90,0.3896,,,,,,,,,,,,,,,,,161,0.034059657,21,0.1304,,,,
Grand County,9153,4.854,7776,0.849557522,644,0.0828,993,0.10848902,37,0.0373,,,,,,,,,,,,,87,0.00950508,34,0.3908,297,0.032448378,80,0.2694,,,,
Iron County,50827,14.076,42288,0.831998741,7717,0.1825,4165,0.081944636,1282,0.3078,1477,0.029059358,594,0.4022,322,0.006335216,18,0.0559,239,0.004702225,123,0.5146,1141,0.022448699,312,0.2734,1168,0.022979912,443,0.3793,27,0.000531214,25,0.9259
Juab County,11104,12.5889,9970,0.89787464,948,0.0951,486,0.043768012,189,0.3889,258,0.02323487,164,0.6357,,,,,18,0.001621037,8,0.4444,237,0.02134366,66,0.2785,125,0.011257205,26,0.208,10,0.000900576,10,1
Kane County,7324,6.8765,6637,0.906198798,845,0.1273,312,0.042599672,42,0.1346,,,,,53,0.007236483,53,1,28,0.003823048,13,0.4643,190,0.025942108,4,0.0211,104,0.014199891,3,0.0288,,,,
Millard County,13596,3.7078,10459,0.769270374,891,0.0852,1641,0.120697264,408,0.2486,1002,0.073698147,273,0.2725,118,0.008679023,39,0.3305,,,,,226,0.016622536,71,0.3142,150,0.011032657,37,0.2467,,,,
Morgan County,11400,26.4965,10809,0.948157895,240,0.0222,307,0.026929825,70,0.228,69,0.006052632,23,0.3333,113,0.009912281,13,0.115,,,,,102,0.008947368,13,0.1275,,,,,,,,
Piute County,1868,-7.6677,1827,0.978051392,286,0.1565,29,0.015524625,26,0.8966,,,,,,,,,,,,,10,0.005353319,6,0.6,2,0.001070664,2,1,,,,
Rich County,2350,9.2683,2026,0.86212766,133,0.0656,256,0.10893617,178,0.6953,68,0.02893617,61,0.8971,,,,,,,,,,,,,,,,,,,,
Salt Lake County,1221782,11.5834,792471,0.648618984,54704,0.069,200069,0.163751799,36620,0.183,103850,0.084998797,21849,0.2104,44260,0.036225775,5930,0.134,20082,0.016436647,5454,0.2716,36038,0.02949626,4195,0.1164,8404,0.006878478,1737,0.2067,16608,0.01359326,1483,0.0893
San Juan County,14985,4.2091,6397,0.42689356,644,0.1007,745,0.049716383,232,0.3114,49,0.003269937,4,0.0816,62,0.004137471,49,0.7903,,,,,383,0.025558892,92,0.2402,7309,0.487754421,2957,0.4046,40,0.002669336,17,0.425
Sanpete County,27992,9.6066,23495,0.839346956,3865,0.1645,2158,0.077093455,298,0.1381,1532,0.054729923,223,0.1456,,,,,41,0.001464704,7,0.1707,407,0.014539869,66,0.1622,240,0.008573878,64,0.2667,119,0.004251215,57,0.479
Sevier County,21169,3.5529,19049,0.899853559,2375,0.1247,1023,0.048325381,273,0.2669,482,0.022769144,156,0.3237,,,,,129,0.006093816,2,0.0155,112,0.005290755,28,0.25,374,0.017667344,109,0.2914,,,,
Summit County,41075,14.8849,34120,0.830675593,1669,0.0489,4642,0.113012781,795,0.1713,550,0.01339014,62,0.1127,665,0.016189897,22,0.0331,283,0.006889836,99,0.3498,815,0.019841753,61,0.0748,,,,,,,,
Tooele County,67970,19.4971,53939,0.793570693,2861,0.053,7838,0.11531558,1093,0.1394,3023,0.044475504,617,0.2041,467,0.006870678,15,0.0321,322,0.004737384,28,0.087,1967,0.028939238,121,0.0615,414,0.006090922,232,0.5604,,,,
Uintah County,36480,9.1441,29268,0.802302632,2838,0.097,3047,0.083525219,587,0.1926,498,0.013651316,109,0.2189,,,,,190,0.005208333,11,0.0579,762,0.020888158,36,0.0472,2715,0.074424342,818,0.3013,,,,
Utah County,589599,19.6577,476235,0.807726947,46625,0.0979,66865,0.113407587,12012,0.1796,10512,0.017829067,2310,0.2197,8473,0.014370784,1697,0.2003,3355,0.005690308,764,0.2277,16810,0.028510903,2448,0.1456,2662,0.004514933,629,0.2363,4687,0.007949471,908,0.1937
Wasatch County,30767,40.5853,25438,0.826794943,933,0.0367,3943,0.128156791,1215,0.3081,359,0.011668346,33,0.0919,341,0.011083304,8,0.0235,95,0.003087724,2,0.0211,591,0.019208893,46,0.0778,,,,,,,,
Washington County,164830,24.0679,134344,0.815045805,14352,0.1068,16189,0.098216344,3658,0.226,5166,0.031341382,831,0.1609,1200,0.007280228,311,0.2592,1062,0.006443002,337,0.3173,3228,0.019583814,314,0.0973,2290,0.013893102,832,0.3633,1351,0.008196323,244,0.1806
Wayne County,2602,-2.9582,2423,0.931206764,221,0.0912,156,0.059953882,3,0.0192,,,,,,,,,,,,,23,0.008839354,1,0.0435,,,,,,,,
Weber County,258193,10.4334,187182,0.724969306,16182,0.0865,44292,0.171546091,9246,0.2088,10679,0.041360533,2278,0.2133,2717,0.010523136,265,0.0975,2558,0.009907317,485,0.1896,8388,0.032487325,1610,0.1919,1680,0.00650676,429,0.2554,697,0.002699531,56,0.0803
